age_min,age_max,total,total_male,male_white,male_black,male_hispanic,other,total_female,female_white,female_black,female_hispanic,female_other
18,19,1,1.1,0.6,1.3,1.3,1.1,0.6,0.4,0.9,1.1,0.8
20,24,11.4,11.4,8.6,13,12.7,12.4,10.2,8.7,11.3,12.5,10.9,
25,29,15.3,15.2,13.2,15.5,17.2,17.2,17.3,16.6,16.5,20.5,20.2,
30,34,16.7,16.6,15.1,16.8,18.6,17.9,18.3,18.4,16.9,19.9,21,
35,39,13.9,13.9,12.7,14.1,15.5,14.2,14.4,14.5,13.9,14.8,14.3,
40,44,12.5,12.5,13,12.2,12.3,12.4,13.2,13.7,13.4,11.4,11.8,
45,49,10.8,10.8,12.2,10.5,9.1,9.5,11.3,11.7,12.1,9.1,9.2,
50,54,8.4,8.5,10.4,8.2,6.3,7,7.7,8.2,7.8,5.7,6.7,
55,59,4.9,5,6.4,4.6,3.6,4,3.8,3.9,4.3,2.8,3.4,
60,64,2.5,2.6,3.7,2.1,1.8,2.1,1.7,2,1.7,1.1,1.7,
65,130,2.1,2.2,3.8,1.2,1.4,1.8,1.2,1.4,0.9,1.1,0.8
